"Row.names","hypermean","nothypermean","ttest_pval","log2_hyper_v_nothyper","wilcox_pval","cohens","deseq_pval","deseq_log2","epi_04_um_300s_pval","epi_04um_300s_spearman","epi_04_um_300s_HYPER_pval","epi_04um_300s_HYPER_spearman","overlapgroup","GOIup","GOIdown"
"PRKCSH",184.764239550264,142.699780483687,0.116838163543912,0.372702439864507,0.104132341324564,0.510639290863417,0.628090355824648,0.0970046223514992,0.0565441544671796,0.208879504441184,0.00863033071806234,0.24707941523748,"epicorrALL_sig",NA,NA
"PRMT1",95.7770865675984,110.482447398833,0.372466695857618,-0.206064727358041,0.270788986091566,0.241317924598535,0.0109220987150141,-0.531995916746866,0.285109022061411,-0.117987899118904,0.773754725207798,-0.0274660850116152,"deseq_sig",NA,NA
"B4GALT5",20.6446415976535,13.5886606741913,0.499381308073721,0.603364104572387,0.893663356448066,0.271683123045383,0.736557427077698,0.160948619929638,0.281270706196735,0.118925687890757,0.330195186769915,0.0928506586579263,NA,NA,NA
"PRMT6",26.6933684904246,41.0371906918443,0.0908567834254467,-0.62045059727788,0.0972721351216733,0.369581963686581,0.0420235017004417,-0.906475077529983,0.112523729104651,-0.174433927219149,0.13672847939992,-0.141489698469558,"deseq_sig",NA,NA
"PRMT9",16.7705526020862,26.7596276293474,0.0724929971173888,-0.674127812903125,0.191911517175002,0.360611634096243,0.0360441162425399,-1.00621956666485,0.253030472210156,-0.126104580695201,0.0495051808276028,-0.186064097167431,"deseq_sig;epicorrALL_sig",NA,NA
"PROSER1",110.513955983998,142.570766308059,0.0356671388096425,-0.367449623650219,0.0741773877652223,0.511292039403171,0.0398826515290226,-0.400075339233649,0.427134045744125,-0.0877919919010591,0.266423014057136,-0.105903994610815,"deseq_sig",NA,NA
"PROSER2-AS1",113.755258247074,86.7504946586543,0.0438834139253268,0.390989345096751,0.0176174153815384,0.487497111437472,0.0548421852347354,0.464398096239919,0.345016460249769,0.104313134025281,0.152094962993655,0.136223920777783,"wilcox_sig",NA,NA
"PRPF3",48.0954331936644,72.5057427485243,0.0714191212720122,-0.592195354687797,0.292254841599125,0.345991068933538,0.0148149721129359,-0.941062284211053,0.280445446061371,-0.119128428899341,0.580405403931667,-0.0527897716503137,"deseq_sig",NA,NA
"PRPF31",40.7847002203093,60.6057411522396,0.14558300163895,-0.571426418083244,0.607809548906652,0.284514301853197,0.017003224292597,-0.990808065941478,0.666297236336384,0.0477401243601813,0.619406508028911,0.0474387008817819,"deseq_sig",NA,NA
"PRPF38A",63.3779078534027,104.347810692032,0.0206984416404284,-0.719348390513892,0.248210825988413,0.398817059022483,0.0129894313429533,-0.84562067165688,0.519657547033383,-0.071230331954338,0.721501800048965,-0.0340538440857964,"deseq_sig",NA,NA
"PRPF38B",86.5141451847946,129.228198904487,0.0316102717183343,-0.578912975261281,0.203261225898452,0.372044033001033,0.0139463586492939,-0.691248271629119,0.659384929392522,0.0487935877451715,0.829827460779375,-0.0205365485535596,"deseq_sig",NA,NA
"PRPF4B",37.4494733127447,63.0614189208811,0.0356994269194656,-0.751812203070094,0.248210825988413,0.356815637735755,0.00322913056617831,-1.03563611447893,0.586782625712222,-0.060148707500691,0.46055398495408,-0.0704317743819395,"deseq_sig",NA,NA
"PRPF6",180.552452586935,237.585083492284,0.0870259042194097,-0.396026243335196,0.0777093834730484,0.404465269092085,0.0134670588550106,-0.566728803250147,0.441784425715269,-0.0850469094267096,0.893765309960169,-0.0127611130704145,"deseq_sig",NA,NA
"PRPSAP1",506.418543011552,395.148652927666,0.0125705329997018,0.357934741436161,0.00119700868793007,0.614307839323513,0.0775657115926604,0.300223321243604,0.000340251867900948,0.381698146857703,0.00010668283404834,0.357947726349072,"wilcox_sig;epicorrALL_sig",NA,NA
"PRR14L",32.8779456992484,61.8494962368281,0.0102681955854245,-0.911641686076224,0.121062050445509,0.420518311149813,0.0220536292332523,-0.914583170752486,0.504816135055793,-0.0737743191921869,0.428953472379004,-0.0754810110425302,"deseq_sig",NA,NA
"PRR5L",56.0267235132848,72.4595475237088,0.181515951102318,-0.371060671759476,0.128957786536746,0.323004361428635,0.00095229227241803,-0.771102640951055,0.697876356314256,-0.0429792802164756,0.991653377652696,-0.000999698847832939,"deseq_sig",NA,NA
"PRR7-AS1",143.128278311325,178.444847588522,0.0793700770570449,-0.318169507556839,0.0598708947895564,0.447587040062534,0.141351399927466,-0.307040200564862,0.0641310966567311,-0.202923384533739,0.044270344560647,-0.190463991598667,"epicorrALL_sig",NA,NA
"PRRC1",54.9071392282139,79.1773960687183,0.0111896720305858,-0.528094875851583,0.0759266305409775,0.50684394393421,0.00639164686427456,-0.682120564974445,0.49658958503767,-0.0752010785593011,0.392282300878717,-0.0816164392692328,"deseq_sig",NA,NA
"PRRC2B",118.038664704708,97.9426183926711,0.312497536249505,0.269250835090051,0.428834601834185,0.328093577202815,0.65381795167603,-0.090875983179583,0.206053413259953,0.139381309398705,0.0260883259813021,0.210235813255807,"epicorrALL_sig",NA,NA
"PRTN3",4.66179424042729,14.2145438651596,0.00384797491156243,-1.60841057052937,0.0446514002961913,0.444169929172501,0.0356201759120543,-1.4065832202988,0.463415736548465,-0.0810854886603898,0.671612486694882,-0.0404960502546855,"wilcox_sig;deseq_sig",NA,NA
"PRUNE1",20065.2565445546,18332.7512360197,0.096084949843255,0.130276291307643,0.128957786536746,0.36440016116243,0.0359789478945099,0.232981029134628,0.288705527872958,0.117116765935162,0.545525909816519,0.0577176557018077,"deseq_sig",NA,NA
